c_no	c_name	t_no	c_tel	a_no	c_address	c_price
B-004	브레인 당진점	1,8,20	041-497-3167	5	당진시 남부로 453-32	20000
B-005	브레인 대구1호점	33,36,32	053-497-3174	10	달성군 가창면 헐티로11길 35	21000
B-006	브레인 대구2호점	3,9,22	053-497-3175	10	중구 달구벌대로414길 20	21000
B-007	브레인 대전점	37,44,21	042-497-3165	7	중구 중교로 49	20000
B-008	브레인 동탄점	39,30,3,26,28	031-497-3156	2	화성시 동탄대로14길 6-36 1층	25000
B-009	브레인 리버타운점	43,3,2,8,28	02-497-3153	3	강남구 강남대로96길 20	25000
B-010	브레인 부산점	44,37,20,24,31	051-497-3159	13	동래구 온천천로457번길 4	20000
B-011	브레인 부평점	33,5,2,37,47	032-497-3163	4	부평구 길주로 633 삼산메디캐슬 101~102호	25000
B-012	브레인 서면점	34,47,36,46,25	051-497-3161	13	부산진구 중앙대로 612 13	25000
B-013	브레인 세종점	47,37,6	044-497-3164	6	나성북로 30 1층	25000
B-014	브레인 수원	14,41,35,37,24	031-497-3157	2	수원시 영통구 이의동 1222-2	20000
B-015	브레인 순천점	36,4,17	061-497-3168	15	순천시 장천2길 22	20000
B-016	브레인 시네마틱점	18,44,34,28,35	02-497-3155	3	종로구 대명길 9 지하2층	25000
B-017	브레인 여수점	41,29,38	061-497-3169	15	여수시 충민사길 97	20000
B-018	브레인 원주점	28,38,20	033-497-3158	1	원주시 문막읍 건등로 10-17 문호빌딩 4층	20000
B-019	브레인 인천점	32,3,12,24,47	032-497-3162	4	중구 마시란로 63	25000
B-020	브레인 제주1호점	26,35,29	064-497-3176	17	제주시 일주서로 7719 102호	21000
B-021	브레인 제주2호점	5,44,13	064-497-3177	17	제주시 도령로 103 연동한일씨티파크	21000
B-022	브레인 진주점	26,6,29	055-497-3171	11	진주시 새들말로 54 1층	21000
B-023	브레인 청주점	36,37,29	043-497-3166	8	청주시 서원구 내수동로 117-1 	20000
B-024	브레인 포레스트점	11,9,7,38,44	02-497-3154	3	광진구 동일로24길 102 2층	25000
B-025	브레인 포항점	48,28,17	055-497-3170	11	포항 남구 수암로 8 1층	21000
B-026	브레인 해운대점	23,2,47,11,6	051-497-3160	13	해운대구 좌동순환로433번길 11	25000
C-001	CSI 강남점	37,46,43,26	02-497-3124	3	광진구 동일로22길 68 지하1층	25000
C-002	CSI 건대점	20,33,35,13,30	02-497-3126	3	광진구 아차산로 200 커먼그라운드 3층	25000
C-003	CSI 광주1호점	1,32,19	062-497-3144	16	광산구 첨단중앙로124번길 27 더124빌딩	20000
C-004	CSI 광주2호점	8,21,41	062-497-3145	16	서구 풍암2로 2	21000
C-005	CSI 남원점	30,5,34	063-412-2142	14	남원시 내척동 하나빌당 220	18000
C-006	CSI 대구1호점	10,44,11	053-497-3146	10	달서구 조암남로32길 24	21000
C-007	CSI 대구역점	37,5,35	053-497-3147	10	중구 봉산문화2길 41	21000
C-008	CSI 대전점	24,1,44	042-497-3137	7	유성구 한밭대로371번길 25-3	25000
C-009	CSI 동탄점	11,44,25,28,9	031-497-3128	2	화성시 안녕동 187-6	25000
C-010	CSI 부산점	13,16,35,31,32	051-497-3131	13	금정구 오시게로 18-1	25000
C-011	CSI 부평점	5,45,38,1	032-497-3135	4	부평구 부평문화로 34	25000
C-012	CSI 서면점	22,21,42,26,5	051-497-3133	13	부산진구 중앙대로666번길 17 시연빌딩 1층	20000
C-013	CSI 서울역점	29,3,15,45,7	02-497-3127	3	마포구 동교로46길 42-3 1층	25000
C-014	CSI 세종점	17,14,22	044-497-3136	6	소담동 570	25000
C-015	CSI 순천점	15,44,46	061-497-3140	15	순천시 봉화로 46	20000
C-016	CSI 아산점	22,14	041-497-3139	5	아산시 음봉면 음봉로155번길 21	25000
C-017	CSI 여수점	18,37,31	061-497-3141	15	여수시 소라면 죽림중앙로 29-35 1층	20000
C-018	CSI 원주점	15,38,19	033-497-3130	1	원주시 남원로 588	25000
C-019	CSI 울산삼산점	1,42,48,10,20	031-497-3129	2	남구 삼산중로74번길 6 3층 트랩코리아	25000
C-020	CSI 인천점	16,17,24,18,21	032-497-3134	4	강화군 강화읍 향나무길5번길 12 	20000
C-021	CSI 제주시청점	2,24	064-497-3148	17	제주시 한경면 한경해안로 552-22	21000
C-022	CSI 제주점	44,31	064-497-3149	17	제주시 서광로2길 27-2	21000
C-023	CSI 진주점	40,12,31	055-497-3143	11	진주시 말티고개로 31	20000
C-024	CSI 청주점	15,22,12	043-497-3138	8	청주시 상당구 중고개로141번길 13-20 1층	25000
C-025	CSI 포항점	35,21,29	055-497-3142	11	포항 울주군 서생면 신암해안길 11	20000
C-026	CSI 해운대점	13,29,1,34,42	051-497-3132	13	해운대구 세실로 48 상가 1, 2호	20000
C-027	CSI 홍대점	4,5,47,10,22	02-497-3125	3	마포구 양화로6길 86 1층	25000
E-001	이스케이프 강남1호점	15,40,25,9,31	02-497-3150	3	강남구 강남대로102길 40 지하1층	25000
E-002	이스케이프 강남2호점	9,12,8,29,39	02-497-3151	3	서초구 강남대로65길 7 피렌체타워 5층	25000
E-003	이스케이프 강남점	14,15,8,24,25	02-497-3280	3	강남구 강남대로 446 5층 501호 강남웰빌딩	25000
E-004	이스케이프 강북점	10,18,14,7,40	02-497-3281	3	강북구 삼양로181길 142	25000
E-005	이스케이프 본점	26,7,28,3,31	02-497-3283	3	서대문구 명물길 32 준성빌딩	25000
E-006	이스케이프 부산서면점	47,36,48,7,4	051-497-3152	13	부산진구 서전로10번길 31-4 2,3층	25000
E-007	이스케이프 울산동구점	17,39,36,30,7	02-497-3282	3	동구 월봉6길 56 3층	25000
E-008	이스케이프 혜화점	23,26,3,24	02-497-3284	3	종로구 대학로9가길 8 1층	20000
G-001	고스트키 광주1호점	37,29,46	062-497-3301	16	동구 충장로안길 5-1 9층	21000
G-002	고스트키 광주역점	17,18,36	062-497-33062	16	동구 충장로 81 2층	21000
G-003	고스트키 남원점	2,1,21	063-215-1121	14	남원시 내척동 아름길 123	18000
G-004	고스트키 대구1호점	45,14,5	053-497-3303	10	북구 이곡길 35-10 2층	21000
G-005	고스트키 대구2호점	27,9,33	053-497-3304	10	달서구 호산동로 148	21000
G-006	고스트키 대전점	30,40,12	042-497-3294	7	서구 대덕대로125번길 22 현대빌딩 4층	20000
G-007	고스트키 동탄점	46,3,23,42,33	031-497-3285	2	화성시 동탄중심상가8길 15 양화빌딩 9층 901호	20000
G-008	고스트키 부산점	26,42,6,3,29	051-497-3288	13	부산진구 동천로 12 5층	25000
G-009	고스트키 부평점	4,25,6,9,28	032-497-3292	4	부평구 부평대로25번길 8 지하 1층	20000
G-010	고스트키 서면점	36,21,11,19,30	051-497-3290	13	부산진구 중앙대로235번가길 13 2층 	25000
G-011	고스트키 세종점	17,37,32	044-497-3293	6	도움1로 108 에메랄드 상가 3층 301호	20000
G-012	고스트키 수원점	20,31,8,34,19	031-497-3286	2	수원시 팔달구 권광로147번길 26 3	20000
G-013	고스트키 순천점	4,16,24	061-497-3297	15	순천시 중앙12길 7 5층	21000
G-014	고스트키 여수점	47,1,23	061-497-3298	15	여수시 장성3길 34	21000
G-015	고스트키 원주점	26,32,40	033-497-3287	1	원주시 웅비3길 27 	25000
G-016	고스트키 인천점	34,16,29,44,21	032-497-3291	4	남동구 인하로511번길 12 여진빌딩 5층	25000
G-017	고스트키 제주시청점	11,37,12	064-497-3305	17	제주시 조천읍 신북로 36	21000
G-018	고스트키 의성점	38,21,39	064-497-3306	17	의성군 의성읍 동서1길 35 농협중앙회	21000
G-019	고스트키 진주점	3,12,11	055-497-3300	11	진주시 촉석로126번길 5	21000
G-020	고스트키 청주점	17,45,30	043-497-3295	8	청주시 상당구 성안로 11 9층	20000
G-021	고스트키 태안점	4,31,29	041-497-3296	5	태안군 소원면 파도길 63-12	20000
G-022	고스트키 포항점	40,4,2	055-497-3299	11	포항 남구 삼산로255번길 12	21000
G-023	고스트키 해운점	13,33,19,27,20	051-497-3289	13	해운대구 해운대해변로 291 오션비치빌딩 10층	25000
L-001	루팡 강남점	5,29,42,38,39	02-497-3233	3	광진구 동일로20길 98 지하 1층	25000
L-002	루팡 광주1호점	30,6,35	062-497-3250	16	북구 일곡마을로 167-1	21000
L-003	루팡 광주2호점	3,22,8	062-497-3251	16	동구 동계천로 159-10 일다	21000
L-004	루팡 당진점	44,21,20	041-497-3245	5	당진시 신평면 매산로 174	20000
L-005	루팡 예천IC점	5,43,24	053-497-3252	10	예천군 보문면 보문로 666	21000
L-006	루팡 대구1호점	21,29,2	053-497-3253	10	중구 국채보상로 492-6	21000
L-007	루팡 대전점	30,36,48	042-497-3243	7	유성구 노은로 170 스타시티	20000
L-008	루팡 동탄점	19,9,27,29	031-497-3234	2	화성시 동탄대로시범길 134 1032호	25000
L-009	루팡 본점	24,11,8,42,14	02-497-3231	3	영등포구 여의대로 24 전경련회관 50층, 51층	25000
L-010	루팡 부산점	31,6,1,19,4	051-497-3237	13	부산진구 중앙대로692번길 45-7	20000
L-011	루팡 부평점	24,13,40,39,28	032-497-3241	4	부평구 부평문화로79번길 26 1층	25000
L-012	루팡 서면점	14,7,22,5,20	051-497-3239	13	부산진구 서전로 25 8층 801호	25000
L-013	루팡 세종점	42,22,25	044-497-3242	6	보듬3로 6 라온프라이빗시티2차 1동 203호	25000
L-014	루팡 수원	28,25,47,13,4	031-497-3235	2	수원시 영통구 대학3로 7 나보나스퀘어 215호	20000
L-015	루팡 순천점	46,34,14	061-497-3246	15	순천시 오천2길 18-9 1층	20000
L-016	루팡 여수점	20,44,27	061-497-3247	15	여수시 율촌면 두언길 106-27	20000
L-017	루팡 원주점	3,2,25	033-497-3236	1	원주시 양지뜰3길 8-2	20000
L-018	루팡 인천점	28,33,36,17,3	032-497-3240	4	옹진군 영흥면 선재로34번길 79	25000
L-019	루팡 장수점	34,19,31	063-781-1248	14	장수군 계남면 중앙로 4	18000
L-020	루팡 제주1호점	35,36,40	064-497-3254	17	제주시 한림읍 협재1길 4 1층	21000
L-021	루팡 제주2호점	38,40,18	064-497-3255	17	제주시 조천읍 신북로 494 1층	21000
L-022	루팡 진주점	17,43,45	055-497-3249	11	진주시 문산읍 동부로 819-73	21000
L-023	루팡 청주점	37,35,24	043-497-3244	8	청주시 흥덕구 강내면 가로수로 560	20000
L-024	루팡 포항점	40,13,45	055-497-3248	11	포항 북구 송정16길 26 101호	21000
L-025	루팡 해운대점	30,33,8,47,21	051-497-3238	13	해운대구 해운대로 802 139호	25000
L-026	루팡 혜화점	25,27,31,33	02-497-3232	3	종로구 창경궁로 231 2층	25000
M-001	마스터키 강남점	30,23,24,32,18	02-497-3023	3	강남구 강남대로 432 점프밀라노 7층 704호	25000
M-002	마스터키 건대점	4,23,1,38,28	02-497-3024	3	광진구 아차산로 162	25000
M-003	마스터키 광주1호점	15,42,23	062-497-3042	16	동구 충장로안길 12 3층	20000
M-004	마스터키 광주2호점	30,48,1	062-497-3043	16	동구 충장로 79 7층	20000
M-005	마스터키 당진점	5,39,34	041-497-3037	5	당진시 당진중앙2로 85-6 2층	20000
M-006	마스터키 대구1호점	36,21,31	053-497-3044	10	중구 동성로9길 7 2층	20000
M-007	마스터키 대구2호점	36,2,8	053-497-3045	10	중구 동성로 12길 8 1층	20000
M-008	마스터키 대전점	7,28,46	042-497-3035	7	서구 대덕대로177번길 24 대우상가 2층	20000
M-009	마스터키 동탄점	31,47,12,30,41	031-497-30316	2	화성시 동탄중심상가3길 15 사과빌딩 1층 101호	25000
M-010	마스터키 부산점	24,16,46,45,17	051-497-30519	13	부산진구 동천로 67 2층	20000
M-011	마스터키 서생점	10,28,17,29,2	032-497-3033	4	울주군 서생면 해맞이로 872	20000
M-012	마스터키 서면점	44,15,2,43	051-497-3031	13	부산진구 중앙대로12번길 1 3층 	20000
M-013	마스터키 세종점	44,18,6	044-497-3034	6	도움1로 111 한유 상가 2층 201호	20000
M-014	마스터키 수원점	23,15,28,17,4	031-497-30317	2	수원시 팔달구 권광로232번길 9	25000
M-015	마스터키 순천점	43,25,14	061-497-3038	15	순천시 중앙15길 12 영아빌딩 38층	20000
M-016	마스터키 여수점	26,39,11	061-497-3039	15	여수시 시청동8길 14	20000
M-017	마스터키 원주점	23,2,8	033-497-30338	1	원주시 천사로 22 혜윤빌딩 2층 201호	20000
M-018	마스터키 익산점	41,13,18	063-1254-214	14	익산시 영등동 대한빌딩 5층	18000
M-019	마스터키 인천점	25,32,33,29,10	032-497-3032	4	남동구 인하로521번길 5 양준빌딩 9층	20000
M-020	마스터키 제주1호점	39,40,18	064-497-3046	17	제주시 신성로9길 25	20000
M-021	마스터키 제주2호점	7,9,13	064-497-3047	17	서귀포시 이중섭로 4-1 하연빌딩 2층	20000
M-022	마스터키 진주점	24,20,43	055-497-3041	11	진주시 촉석로126번길 18	20000
M-023	마스터키 청주점	33,6,31	043-497-3036	8	청주시 상당구 성안로 33 9층	20000
M-024	마스터키 포항점	43,40,8	055-497-3040	11	포항 남구 삼산로25번길 36	20000
M-025	마스터키 해운대점	6,33,25,22,20	051-497-3030	13	해운대구 해운대 해변로 293 샤이닝빌딩 7층	20000
M-026	마스터키 홍대점	46,3,1,20,10	02-497-3025	3	마포구 독막로3길 30 지하2층	25000
N-001	넥스트에디션 강남2호점	11,46,10,41,28	02-497-3100	3	강남구 테헤란로4길 32 우정에쉐르1 지하1층	25000
N-002	넥스트에디션 강남신논현점	37,38,23,26,40	02-497-3099	3	강남구 강남대로94길 11 지하1층	25000
N-003	넥스트에디션 강남점	12,22,41,23,4	02-497-3101	3	서초구 서초대로73길 30 지하1층	25000
N-004	넥스트에디션 광주1호점	14,43,34	062-497-3118	16	북구 서강로 77-1 1층	20000
N-005	넥스트에디션 광주2호점	28,26,21	062-497-3119	16	남구 회재로 1256	21000
N-006	넥스트에디션 대구1호점	31,35,18	053-497-3120	10	달성군 가창면 주리2길 104	21000
N-007	넥스트에디션 대구역점	44,40,35	053-497-3121	10	중구 동성로1길 29-6	21000
N-008	넥스트에디션 대전점	4,40,12	042-497-3111	7	서구 둔산남로9번길 29	25000
N-009	넥스트에디션 동탄점	13,47,4,20,37	031-497-31031	2	화성시 서신면 밸미길 242-39 C동	25000
N-010	넥스트에디션 미성점	14,47,16	063-212-2121	14	군산시 미성동 333	19000
N-011	넥스트에디션 부산점	34,47,27,30,5	051-497-3105	13	영도구 태종로 539	25000
N-012	넥스트에디션 부평점	30,17,39,16,27	032-497-3109	4	부평구 길주로 623 대덕리치아노 1층 139호 	25000
N-013	넥스트에디션 서면점	19,7,25,44,14	051-497-3107	13	부산진구 서면문화로 7 2층	20000
N-014	넥스트에디션 세종점	47,26,3	044-497-3110	6	금남면 안금로 257	25000
N-015	넥스트에디션 순천점	2,8,7	061-497-3114	15	순천시 역전길 61	20000
N-016	넥스트에디션 아산점	32,30,47	041-497-3113	5	아산시 배방읍 공원로16번길 13-4 1층	25000
N-017	넥스트에디션 여수점	33,30,22	061-497-3115	15	여수시 고소5길 11	20000
N-018	넥스트에디션 원주점	20,41,48	033-497-3104	1	원주시 신림면 성남로 457	25000
N-019	넥스트에디션 이천점	24,21,23,7,5	031-497-3103	2	이천시 마장면 서이천로 648	25000
N-020	넥스트에디션 익산점	25,27,28	063-124-2124	14	익산시 영등동 무지개 1동 103	18000
N-021	넥스트에디션 인천점	45,34,21,4,3	032-497-3108	4	강화군 길상면 길상로25번길 28	20000
N-022	넥스트에디션 제주시청점	45,29,43	064-497-3122	17	제주시 구좌읍 면수1길 48	21000
N-023	넥스트에디션 제주점	13,42,12	064-497-3123	17	제주시 구좌읍 하도서문길 41	21000
N-024	넥스트에디션 진주점	11,21,24	055-497-3117	11	진주시 가호방아길 51-8	20000
N-025	넥스트에디션 청주점	34,9	043-497-3112	8	청주시 상당구 상당로59번길 64	25000
N-026	넥스트에디션 포항점	39,38,16	055-497-3116	11	포항 울주군 서생면 해맞이로 924	20000
N-027	넥스트에디션 해운대점	46,16,66,8,42	051-497-3106	13	해운대구 달맞이길117번가길 120-30 6층	20000
P-001	머더파커 광주본점	33,7,11	062-497-3275	16	남구 봉선로121번길 14	21000
P-002	머더파커 울산역점	15,9,35	062-497-3274	16	울주군 삼남읍 신화리 467	21000
P-003	머더파커 김제점	43,24,31	063-111-5656	14	김제시 신적동 1233	18000
P-004	머더파커 대구점	36,28,9	053-497-3277	10	중구 동성로1길 5 2층	21000
P-005	머더파커 대전점	43,15	042-497-3267	7	동구 대동천우안5길 38	25000
P-006	머더파커 대학로점	11,26,25,42,4	02-497-3256	3	광진구 아차산로 192 별관 2,3층	25000
P-007	머더파커 동성점	4,34,45	053-497-3276	10	중구 동성로9길 10 8층	21000
P-008	머더파커 동탄점	19,48,26,23,27	031-497-3258	2	화성시 동탄지성로 142	25000
P-009	머더파커 본점	8,21,39,38	02-497-3257	3	서초구 서초대로73길 40 지하1층	25000
P-010	머더파커 부산점	19,11,37,46,27	051-497-3261	13	부산진구 서전로58번길 52 1F	20000
P-011	머더파커 부평점	33,27,19,31,43	032-497-3265	4	부평구 장제로 388 1,2층	25000
P-012	머더파커 서면점	20,14,47,37,36	051-497-3263	13	부산진구 서전로10번길 7 4층	25000
P-013	머더파커 세종점	28,6,16	044-497-3266	6	보듬3로 95 해피라움 3차 121호	25000
P-014	머더파커 수원	34,11,22,45	031-497-3259	2	수원시 팔달구 권선로 469 2층	25000
P-015	머더파커 순천점	40,10,5	061-497-3270	15	순천시 봉화2길 1	20000
P-016	머더파커 아산점	39,42,15	041-497-3269	5	아산시 음봉면 월랑길 53-2 제3동	20000
P-017	머더파커 여수점	33,17,42	061-497-3271	15	여수시 문수로 155	20000
P-018	머더파커 원주점	20,33,18	033-497-3260	1	원주시 남원로 528-21	20000
P-019	머더파커 인천점	7,42,2,16,27	032-497-3264	4	연수구 아트센터대로 149 봄동 Spring 102	25000
P-020	머더파커 제주시청점	22,23,29	064-497-3278	17	제주시 한림읍 명월로 48	21000
P-021	머더파커 제주점	3,23,45	064-497-3279	17	제주시 도두봉6길 4	21000
P-022	머더파커 진주점	14,17,20	055-497-3273	11	진주시 가좌길 13	21000
P-023	머더파커 청주점	10,7,47	043-497-3268	8	청주시 상당구 사직대로361번길 30 102호	20000
P-024	머더파커 포항점	34,2,25	055-497-3272	11	포항 남구 문수로423번길 18-9 1층	20000
P-025	머더파커 해운대점	48,12,36,20	051-497-3262	13	해운대구 해운대해변로 257	20000
S-001	셜록홈즈  함안점	16,42,38	054-497-3092	9	포항시 북구 흥해읍 해안로 1744 2동	20000
S-002	셜록홈즈 강남2호점	41,18,38,6,1	02-497-3074	3	강남구 강남대로98길 11 메트로빌딩 B2층	25000
S-003	셜록홈즈 광주시청점	33,42,7	062-497-3093	16	광산구 광산로19번길 24	20000
S-004	셜록홈즈 광주역점	26,25,45	062-497-3094	16	서구 눌재로 434 1층	21000
S-005	셜록홈즈 광화문점	29,10,20,42,45	02-497-3076	3	종로구 대학로10길 5 4층	25000
S-006	셜록홈즈 군산중앙점	28,27,39	063-155-5611	14	군산시 중앙로1가 1234	19000
S-007	셜록홈즈 노원점	12,2,15,37,19	02-497-3075	3	노원구 노해로81길 12-20 민진빌딩 5층	25000
S-008	셜록홈즈 대구1호점	25,41,43	053-497-3095	10	중구 중앙대로 397	21000
S-009	셜록홈즈 대구역점	10,41,7	053-497-3096	10	중구 대봉로 200-21	21000
S-010	셜록홈즈 대전점	46,21,28	042-497-3086	7	중구 대종로 480	25000
S-011	셜록홈즈 부산점	31,6,34,25,48	051-497-3080	13	수영구 수영로394번길 28	25000
S-012	셜록홈즈 부평점	36,1,22,18,13	032-497-3084	4	부평구 길주로595번길 7-7	25000
S-013	셜록홈즈 서면점	26,9,6,30,15	051-497-3082	13	부산진구 서전로10번길 41	20000
S-014	셜록홈즈 세종점	11,19,10	044-497-3085	6	나성로 38 어반아트리움	25000
S-015	셜록홈즈 수원	8,42,47,12,37	031-497-3077	2	수원시 팔달구 덕영대로 937-1 	25000
S-016	셜록홈즈 순천점	44,34,30	061-497-3089	15	순천시 팔마로 269 나동	20000
S-017	셜록홈즈 시청점	2,44,7	064-497-3097	17	서귀포시 성산읍 동류암로 20	21000
S-018	셜록홈즈 여수점	23,37,47	061-497-3090	15	여수시 돌산읍 무술목길 50	20000
S-019	셜록홈즈 원주역점	27,37,36	033-497-3078	1	원주시 전망길 17	25000
S-020	셜록홈즈 원주점	20,36,25	033-497-3079	1	원주시 지정면 신평안터길 6	25000
S-021	셜록홈즈 인천점	44,43,4,35,42	032-497-3083	4	옹진군 영흥면 선재로 55	20000
S-022	셜록홈즈 제주점	43,9,23	064-497-3098	17	제주시 한림읍 일주서로 5857	21000
S-023	셜록홈즈 천안점	20,12,11	041-497-3088	5	천안시 동남구 먹거리11길 27 3층	25000
S-024	셜록홈즈 청주점	10,14,39	043-497-3087	8	청주시 청원구 내수읍 덕암리 331-1	25000
S-025	셜록홈즈 포항점	45,15,35	055-497-3091	11	포항 울주군 상북면 명촌길천로 23	20000
S-026	셜록홈즈 해운대점	4,25,42,44,10	051-497-3081	13	해운대구 좌동순환로 473 1층 	20000
T-001	더코드 강남점	32,10,29,42,38	02-497-2999	3	강남구 봉은사로2길 31 지하 1층	25000
T-002	더코드 광주1호점	43,30,37	062-497-3017	16	동구 충장로안길 7-1 4층	20000
T-003	더코드 광주2호점	28,42,46	062-497-3018	16	동구 충장로 90 4층	20000
T-004	더코드 대구1호점	25,8,39	053-497-3019	10	중구 동성로6길 16 4층	20000
T-005	더코드 대구역점	1,8,25	053-497-30530	10	중구 동성로3길 7 3층	20000
T-006	더코드 대전점	48,3,34	042-497-3010	7	서구 대덕대로185번길 22 태형빌딩 7층	20000
T-007	더코드 동탄점	5,19,38,28,4	031-497-3001	2	화성시 동탄중심상가2길 15 수성프라자 5층 501호	20000
T-008	더코드 부산점	18,11,38,2,5	051-497-3004	13	부산진구 동천로 66 5층	20000
T-009	더코드 부평점	5,11,47,32,17	032-497-3008	4	부평구 부평대로17번길 5 지하	20000
T-010	더코드 서면점	12,36,47,35,7	051-497-3006	13	부산진구 중앙대로680번가길 11-5 2층 	20000
T-011	더코드 세종점	21,37,2	044-497-3009	6	도움1로 108 몰리브 상가 5층 512호	20000
T-012	더코드 순천점	24,2,1	061-497-3013	15	순천시 중앙6길 3-1 2층	20000
T-013	더코드 신논현점	22,39,17,28,32	02-497-3000	3	강남구 봉은사로 115 노벨테크빌딩 B2F	25000
T-014	더코드 아산점	9,8,17	041-497-3012	5	아산시 음봉면 음봉로586번길 77-20	20000
T-015	더코드 여수점	48,43,27	061-497-3014	15	여수시 시청동3길 35-18	20000
T-016	더코드 원주점	15,33,18	033-497-3003	1	원주시 천사로 60 6층	20000
T-017	더코드 이천점	18,20,40,21,24	031-497-30031	2	이천시 서희로 58 2, 3층	20000
T-018	더코드 인천점	31,15,32,25,44	032-497-3007	4	남동구 인하로507번길 18 망고빌딩 5층	20000
T-019	더코드 장수점	13,39,18	063-115-6441	14	장수군 계남면 서로 53	18000
T-020	더코드 제주시청점	19,1,20	064-497-30641	17	제주시 신성로13길 25	20000
T-021	더코드 제주점	13,44,12	064-497-30642	17	서귀포시 이중섭로 4-1 뮤즈	20000
T-022	더코드 진주점	40,26,17	055-497-3016	11	진주시 촉석로186번길 3	20000
T-023	더코드 청주점	18,36,41	043-497-3011	8	청주시 상당구 성안로 3 3층	20000
T-024	더코드 포항점	5,14,27	055-497-3015	11	포항 남구 삼산로277번길 6-12	20000
T-025	더코드 해운대점	25,40,4,34,39	051-497-3005	13	해운대구 해운대해변로 291 크리스탈비치오피스텔 609호	20000
V-001	V방탈출 강남점	26,44,33,15,42	02-497-3206	3	광진구 아차산로 209	25000
V-002	V방탈출 건대점	25,46,30,23,47	02-497-3207	3	광진구 아차산로31길 40	25000
V-003	V방탈출 광주1호점	14,24,19	062-497-3225	16	동구 동계천로 136	21000
V-004	V방탈출 광주2호점	14,47,15	062-497-3226	16	서구 죽봉대로 33	21000
V-005	V방탈출 군산개복점	16,3,28	063-554-8883	14	군산시 개복동 장미빌딩 7층	19000
V-006	V방탈출 당진점	32,43,26	041-497-3220	5	당진시 합덕읍 합덕대덕로 502-24	20000
V-007	V방탈출 대구1호점	35,4,23	053-497-3227	10	북구 침산남로9길 43 	21000
V-008	V방탈출 대구2호점	33,8,18	053-497-3228	10	수성구 무학로 152 1,2,3층 	21000
V-009	V방탈출 대전점	34,29,30	042-497-3218	7	유성구 유성대로 1734-1	20000
V-010	V방탈출 동탄점	25,20,32,21,35	031-497-3209	2	화성시 동탄대로 181 판매시설 B동 지하2층 CB220호	20000
V-011	V방탈출 부산점	40,13,27,41,21	051-497-3212	13	수영구 광남로48번길 43 2층	25000
