r_no	u_no	c_no	t_no	r_date	r_time	r_people	r_attend
459	24	G-001	5	2022-03-11	13:00	2	0
460	9	Z-026	12	2022-03-11	13:30	1	0
461	6	A-016	40	2022-03-11	15:30	1	0
462	32	T-004	34	2022-03-11	17:00	2	0
463	16	Z-016	13	2022-03-11	17:30	1	0
464	29	A-019	1	2022-03-11	18:00	2	1
465	29	P-001	30	2022-03-11	19:00	1	1
466	12	V-019	10	2022-03-11	20:00	2	0
467	4	N-012	17	2022-03-11	21:00	1	0
468	13	P-024	36	2022-03-12	14:00	1	1
469	23	V-013	6	2022-03-12	16:00	3	1
470	25	B-001	41	2022-03-12	16:30	1	1
471	8	T-024	24	2022-03-12	17:00	3	0
472	38	M-016	42	2022-03-12	18:00	2	1
473	27	Z-012	21	2022-03-12	18:30	1	1
474	6	P-011	5	2022-03-12	19:00	2	0
475	37	N-008	33	2022-03-12	19:30	1	0
476	38	A-018	42	2022-03-12	21:00	1	0
477	33	C-026	1	2022-03-13	10:00	2	1
478	43	A-005	1	2022-03-13	11:30	2	1
479	20	M-017	14	2022-03-13	11:30	5	1
480	10	T-006	46	2022-03-13	11:30	1	1
481	1	B-006	38	2022-03-13	14:00	3	0
482	24	A-001	45	2022-03-13	17:00	4	1
483	1	P-012	3	2022-03-13	18:00	1	0
484	44	Z-010	14	2022-03-13	20:30	1	0
485	9	Z-023	14	2022-03-14	10:30	6	0
486	24	L-026	10	2022-03-14	11:00	1	0
487	35	Z-025	43	2022-03-14	12:00	1	1
488	17	N-023	20	2022-03-14	12:30	2	0
489	16	N-022	8	2022-03-14	14:30	1	1
490	35	L-020	46	2022-03-14	16:30	1	0
491	35	C-022	10	2022-03-14	17:00	1	1
492	3	M-006	35	2022-03-14	17:00	1	0
493	22	P-013	44	2022-03-14	17:00	5	0
494	42	M-010	36	2022-03-14	17:30	1	1
495	28	M-004	46	2022-03-14	19:00	1	1
496	18	C-015	28	2022-03-15	10:00	1	1
497	24	V-024	14	2022-03-15	10:00	3	0
498	40	L-021	17	2022-03-15	11:00	1	0
499	42	L-018	36	2022-03-15	11:30	1	0
500	23	M-009	41	2022-03-15	12:00	1	1
501	38	L-020	46	2022-03-15	16:30	1	0
502	43	G-007	25	2022-03-15	20:00	2	0
503	3	P-018	21	2022-03-15	20:30	1	1
504	20	V-004	35	2022-03-16	10:00	1	0
505	12	Z-007	28	2022-03-16	11:00	2	0
506	28	L-009	14	2022-03-16	11:30	6	1
507	33	N-005	22	2022-03-16	12:30	1	1
508	9	L-004	16	2022-03-16	13:30	3	1
509	33	A-018	32	2022-03-16	17:00	1	0
510	7	V-008	14	2022-03-16	17:00	1	0
511	31	S-014	43	2022-03-16	18:00	2	1
512	38	B-005	33	2022-03-16	21:00	1	1
513	39	V-005	38	2022-03-16	21:00	1	0
514	17	A-026	7	2022-03-17	10:00	3	0
515	3	C-014	34	2022-03-17	10:30	1	0
516	29	Z-025	2	2022-03-17	11:00	2	1
517	17	B-021	39	2022-03-17	11:30	3	1
518	34	E-008	39	2022-03-17	11:30	2	1
519	11	C-027	17	2022-03-17	13:00	1	1
520	10	M-006	41	2022-03-17	13:00	1	0
521	15	Z-018	4	2022-03-17	13:00	1	1
522	20	M-020	45	2022-03-17	13:30	2	0
523	13	N-013	40	2022-03-17	14:30	1	1
524	11	G-007	29	2022-03-17	15:30	1	1
525	24	C-017	36	2022-03-17	16:00	1	0
526	40	Z-024	45	2022-03-17	16:00	2	1
527	33	G-004	22	2022-03-17	18:00	2	1
528	16	S-022	31	2022-03-17	18:30	1	0
529	42	G-015	32	2022-03-17	20:00	1	0
530	18	N-017	36	2022-03-17	20:00	1	0
531	14	V-015	37	2022-03-17	21:00	1	1
532	39	V-025	5	2022-03-18	11:00	2	1
533	17	P-001	5	2022-03-18	12:00	2	0
534	30	B-004	41	2022-03-18	12:30	1	0
535	8	A-024	5	2022-03-18	13:30	2	0
536	20	A-014	20	2022-03-18	14:30	3	1
537	40	L-024	2	2022-03-18	14:30	1	0
538	19	B-001	47	2022-03-18	18:00	1	0
539	34	L-004	35	2022-03-18	18:00	1	0
540	17	B-020	9	2022-03-18	21:00	3	0
541	1	P-008	43	2022-03-19	10:00	2	1
542	21	B-024	19	2022-03-19	10:30	2	1
543	24	M-025	6	2022-03-19	11:00	2	1
544	32	M-021	19	2022-03-19	16:00	2	1
545	15	Z-022	8	2022-03-19	17:30	1	1
546	38	C-022	24	2022-03-19	18:30	4	0
547	36	A-024	32	2022-03-19	19:30	1	1
548	26	L-024	11	2022-03-19	19:30	5	0
549	38	Z-022	9	2022-03-19	19:30	1	0
550	38	P-023	5	2022-03-19	20:30	1	0
551	9	L-023	45	2022-03-19	21:00	2	1
552	4	V-012	16	2022-03-19	21:00	1	0
553	9	G-003	32	2022-03-20	10:00	1	0
554	19	M-023	43	2022-03-20	11:00	2	1
555	24	C-014	17	2022-03-20	12:30	1	0
