pu_no	p_no	pu_price	pu_count	coupon	u_no	pu_date
6	38	8000	3	0	6	2021-02-05
36	18	18900	12	2	6	2021-02-25
66	22	3000	7	0	6	2021-03-06
96	54	20000	5	0	6	2021-03-14
126	2	10000	2	0	6	2021-03-22
165	2	10000	2	0	6	2021-04-01
7	39	8000	2	0	7	2021-02-06
37	14	20000	3	0	7	2021-02-25
67	23	4000	9	0	7	2021-03-06
97	39	8000	3	0	7	2021-03-15
127	3	73950	6	0	7	2021-03-23
166	3	73950	6	0	7	2021-04-01
8	40	8000	7	0	8	2021-02-06
38	13	12000	12	0	8	2021-02-25
68	24	2000	4	0	8	2021-03-07
98	42	8000	5	0	8	2021-03-16
128	4	23100	8	0	8	2021-03-23
167	4	23100	8	0	8	2021-04-01
9	41	8000	10	0	9	2021-02-07
39	48	28000	3	0	9	2021-02-25
69	25	6000	5	0	9	2021-03-07
99	43	8000	2	0	9	2021-03-17
129	5	15500	9	0	9	2021-03-23
168	5	15500	9	0	9	2021-04-01
10	42	8000	5	0	10	2021-02-08
40	49	30000	6	0	10	2021-02-26
70	26	3000	8	0	10	2021-03-07
100	47	8000	3	0	10	2021-03-17
130	6	25500	10	0	10	2021-03-23
169	6	25500	10	0	10	2021-04-01
11	43	8000	4	0	11	2021-02-08
41	50	30000	7	0	11	2021-02-26
71	26	3000	2	0	11	2021-03-07
101	41	8000	2	0	11	2021-03-17
131	9	14500	9	0	11	2021-03-23
170	9	14500	9	0	11	2021-04-01
12	44	8000	2	0	12	2021-02-11
42	51	53000	13	0	12	2021-02-26
72	27	7000	4	0	12	2021-03-07
102	38	8000	3	0	12	2021-03-18
132	18	18900	12	0	12	2021-03-23
171	18	18900	12	0	12	2021-04-01
13	45	8000	5	0	13	2021-02-11
43	52	53000	6	0	13	2021-02-26
73	37	8000	13	0	13	2021-03-07
103	39	8000	2	0	13	2021-03-18
133	14	20000	3	0	13	2021-03-23
172	14	20000	3	0	13	2021-04-01
14	46	8000	12	0	14	2021-02-11
44	53	60000	9	0	14	2021-02-27
74	28	3000	9	0	14	2021-03-08
104	40	8000	7	0	14	2021-03-18
134	13	12000	12	0	14	2021-03-23
173	13	12000	12	0	14	2021-04-01
15	47	8000	7	0	15	2021-02-18
45	55	15000	24	0	15	2021-02-27
75	35	5000	7	0	15	2021-03-08
105	41	8000	10	0	15	2021-03-18
135	48	28000	3	0	15	2021-03-23
174	48	28000	3	0	15	2021-04-01
16	20	3000	6	0	16	2021-02-18
46	56	40000	6	0	16	2021-02-28
76	32	6000	8	0	16	2021-03-08
106	42	8000	5	0	16	2021-03-18
136	49	30000	6	0	16	2021-03-23
175	49	30000	6	0	16	2021-04-01
17	21	4000	3	0	17	2021-02-19
47	57	3000	21	0	17	2021-02-28
77	1	33800	5	0	17	2021-03-08
107	43	8000	4	0	17	2021-03-18
137	50	30000	7	0	17	2021-03-23
176	50	30000	7	0	17	2021-04-01
18	22	3000	7	0	18	2021-02-20
48	54	20000	5	0	18	2021-02-28
78	2	10000	2	0	18	2021-03-09
108	44	8000	2	0	18	2021-03-18
138	51	53000	13	0	18	2021-03-26
177	51	53000	13	0	18	2021-04-01
19	23	4000	9	0	19	2021-02-20
49	39	8000	3	0	19	2021-02-28
79	3	73950	6	0	19	2021-03-09
109	45	8000	5	0	19	2021-03-18
139	52	53000	6	0	19	2021-03-26
178	52	53000	6	0	19	2021-04-01
20	24	2000	4	0	20	2021-02-20
50	42	8000	5	0	20	2021-02-28
80	4	23100	8	0	20	2021-03-09
110	46	8000	12	0	20	2021-03-18
140	53	60000	9	0	20	2021-03-26
179	53	60000	9	0	20	2021-04-01
21	25	6000	5	0	21	2021-02-20
51	43	8000	2	0	21	2021-03-01
81	5	15500	9	0	21	2021-03-09
111	47	8000	7	0	21	2021-03-20
141	55	15000	24	0	21	2021-03-26
180	55	15000	24	0	21	2021-04-01
22	26	3000	8	0	22	2021-02-20
52	47	8000	3	0	22	2021-03-01
82	6	25500	10	0	22	2021-03-11
112	20	3000	6	0	22	2021-03-20
142	56	40000	6	0	22	2021-03-26
181	56	40000	6	0	22	2021-04-02
23	26	3000	2	0	23	2021-02-20
53	41	8000	2	0	23	2021-03-01
83	9	14500	9	0	23	2021-03-11
113	21	4000	3	0	23	2021-03-20
143	57	3000	21	0	23	2021-03-26
152	57	3000	21	0	23	2021-04-01
24	27	7000	4	0	24	2021-02-21
54	38	8000	3	0	24	2021-03-01
84	18	18900	12	0	24	2021-03-11
114	22	3000	7	0	24	2021-03-20
144	54	20000	5	0	24	2021-03-26
153	54	20000	5	0	24	2021-04-01
25	37	8000	13	0	25	2021-02-21
55	39	8000	2	0	25	2021-03-01
85	14	20000	3	0	25	2021-03-12
115	23	4000	9	0	25	2021-03-20
145	52	53000	6	0	25	2021-03-26
154	52	53000	6	0	25	2021-04-01
26	28	3000	9	0	26	2021-02-21
56	40	8000	7	0	26	2021-03-01
86	13	12000	12	0	26	2021-03-12
116	24	2000	4	0	26	2021-03-20
146	53	60000	9	0	26	2021-03-26
155	53	60000	9	0	26	2021-04-01
27	35	5000	7	0	27	2021-02-22
57	41	8000	10	0	27	2021-03-01
87	48	28000	3	0	27	2021-03-12
117	25	6000	5	0	27	2021-03-20
147	55	15000	24	0	27	2021-03-26
156	55	15000	24	0	27	2021-04-01
28	32	6000	8	0	28	2021-02-23
58	42	8000	5	0	28	2021-03-02
88	49	30000	6	0	28	2021-03-12
118	26	3000	8	0	28	2021-03-20
148	56	40000	6	0	28	2021-03-26
157	56	40000	6	0	28	2021-04-01
29	1	33800	5	0	29	2021-02-24
59	43	8000	4	0	29	2021-03-02
89	50	30000	7	0	29	2021-03-13
119	26	3000	2	0	29	2021-03-20
149	57	3000	21	0	29	2021-03-27
158	57	3000	21	0	29	2021-04-01
30	2	10000	2	0	30	2021-02-24
60	44	8000	2	0	30	2021-03-02
90	51	53000	13	0	30	2021-03-13
120	27	7000	4	0	30	2021-03-20
150	54	20000	5	0	30	2021-03-28
159	54	20000	5	0	30	2021-04-01
